Feature,Importance
Content Rating_Adults only 18+,6.725122655548779e-06
Genres_Parenting;Brain Games,6.33638635161844e-06
Genres_Puzzle;Creativity,6.253271715598957e-06
Genres_Lifestyle;Pretend Play,5.866710104744441e-06
Genres_Casual;Music & Video,5.713321610886459e-06
Genres_Board;Pretend Play,4.298277957838751e-06
Genres_Video Players & Editors;Creativity,4.292123138782061e-06
Genres_Card;Action & Adventure,4.023348514665723e-06
Genres_Role Playing;Brain Games,2.938954493444377e-06
Genres_Arcade;Pretend Play,2.7070089868709e-06
Genres_Strategy;Creativity,2.159928986162436e-06
Genres_Adventure;Brain Games,2.1459040229911218e-06
Genres_Education;Brain Games,1.2761806219631225e-06
Genres_Travel & Local;Action & Adventure,9.668718273141605e-07
Genres_Racing;Pretend Play,0.0
